Armado de pc nueva
Cableado de red para los puestos de trabajo
Configuración de Carpetas Compartidas
Configuración de Impresora de Red
Configuración de Impresora local
Configuración de Router
Configuración de Servidor
Configuración de Switch
Configurar página de inicio para algún explorador de internet
Crear cuenta de correo electrónico en MS Outlook
Eliminación de virus y malwares
Instalación de Menú Win
Instalación de Paquete Office 2003
Instalación de Paquete Office 2007
Instalación de Paquete Office 2010
Instalación de Paquete Office 2013
Instalación de Paquete Office 360
Instalación de Sistema Operativo Linux
Instalación de Sistema Operativo Windows 10
Instalación de Sistema Operativo Windows 7
Instalación de Sistema Operativo Windows 8
Instalación de Sistema Operativo Windows 8.1
Instalación de Sistema Operativo Windows XP
Instalación de última versión disponible de Google Chrome
Instalación de última versión disponible de Mozilla Firefox
Instalación de Utilitarios
Reemplazo de Disco Duro
Reemplazo de Fuente de Alimentación
Reemplazo de Memoria RAM
Reemplazo de pila de pc
Reemplazo de Placa Madre
Reinicialización de Router
Reinicialización de Servidor
Reinicialización de Switch
Relevamiento Técnico
Reparación de Cableado de red
Resguardo de controladores
Resguardo de datos de usuario
